Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1961.3695,NA,16.60880000000000,16.74670000000000,0.51960000000000,0.86860000000000,29.5403,1945.2021,16.6870,16.1674,0.5196,16.4863,0.5497,0.5393,0.0104,0.2139,1945.2021,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1978.1572,NA,16.94540000000000,16.74670000000000,0.00000000000000,0.05410000000000,12.7526,1961.2118,16.9454,16.9454,0.0000,0.1488,16.8507,0.5702,16.2805,-0.4003,1961.2118,NA,NA,NA
<unknown>,1356,0x0,Other,-1,0,0,Hardware: Legacy Flip,1843.9829,NA,332.19529999999997,333.32540000000000,0.00000000000000,0.09090000000000,16.4994,1511.7876,332.1953,332.1953,0.0000,331.9487,0.3375,0.3375,0.0000,-283.0489,1511.7876,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1978.2768,NA,16.90730000000000,16.71240000000000,0.58320000000000,1.36220000000000,29.3454,1961.8891,16.9709,16.3877,0.5832,16.7428,1.0071,0.9998,0.0073,-0.0254,1961.8891,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,1995.0735,NA,16.91630000000000,16.71240000000000,0.00000000000000,0.12630000000000,12.5487,1978.1572,16.9163,16.9163,0.0000,0.0541,16.9885,0.6524,16.3361,0.2330,1978.1572,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,1994.6097,NA,16.33290000000000,16.72230000000000,0.48830000000000,0.43510000000000,29.7348,1978.8600,16.2380,15.7497,0.4883,16.0720,0.1128,0.1028,0.0100,0.2486,1978.8600,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2011.1724,NA,16.09890000000000,16.72230000000000,0.00000000000000,0.00950000000000,13.1721,1995.0735,16.0989,16.0989,0.0000,0.7304,15.3780,0.1701,15.2079,0.1940,1995.0735,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2011.2118,NA,16.60210000000000,16.74260000000000,0.26520000000000,0.74250000000000,29.8753,1995.0980,16.3790,16.1138,0.2652,16.2432,0.6131,0.6095,0.0036,-0.5046,1995.0980,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2027.7598,NA,16.58740000000000,16.74260000000000,0.00000000000000,0.14240000000000,13.3273,2011.1724,16.5874,16.5874,0.0000,0.0095,16.7203,0.4104,16.3099,-0.6437,2011.1724,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2028.2352,NA,17.02340000000000,16.71570000000000,0.24420000000000,0.64770000000000,29.5676,2011.4770,17.0024,16.7582,0.2442,16.8841,0.5218,0.5160,0.0058,-0.3367,2011.4770,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2044.4472,NA,16.68740000000000,16.71570000000000,0.00000000000000,0.15870000000000,13.3556,2027.7598,16.6874,16.6874,0.0000,0.1424,16.7037,0.4696,16.2341,-0.1283,2027.7598,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2044.5257,NA,16.29050000000000,16.73390000000000,0.32530000000000,1.26440000000000,30.0110,2028.4794,16.3716,16.0463,0.3253,16.2212,1.0895,1.0841,0.0054,0.2685,2028.4794,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2061.0456,NA,16.59840000000000,16.73390000000000,0.00000000000000,0.14650000000000,13.4911,2044.4472,16.5984,16.5984,0.0000,0.1587,16.5862,0.5088,16.0774,-0.0465,2044.4472,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2061.0722,NA,16.54650000000000,16.71620000000000,0.29010000000000,0.24210000000000,30.1807,2044.8510,16.5113,16.2212,0.2901,16.3628,0.1005,0.0813,0.0192,-0.3446,2044.8510,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2077.9034,NA,16.85780000000000,16.71620000000000,0.00000000000000,0.13000000000000,13.3495,2061.0456,16.8578,16.8578,0.0000,0.1465,16.8413,0.4790,16.3623,-0.1178,2061.0456,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2077.9347,NA,16.86250000000000,16.73480000000000,0.46760000000000,1.36890000000000,30.0530,2061.3623,17.0400,16.5724,0.4676,16.8838,1.0575,1.0501,0.0074,-0.2235,2061.3623,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2094.4305,NA,16.52710000000000,16.73480000000000,0.00000000000000,0.19530000000000,13.5572,2077.9034,16.5271,16.5271,0.0000,0.1300,16.5924,0.5209,16.0715,0.1230,2077.9034,NA,NA,NA
